protocol_type,src_bytes,dst_bytes,service,flag,duration,logged_in,count,srv_count,same_srv_rate,diff_srv_rate,dst_host_srv_count
tcp,628,753,ftp_data,S0,8,9,7,1,0.55,0.22,10
tcp,4616,2480,http,REJ,4,1,2,0,0.7,0.52,5
tcp,2375,1551,smtp,REJ,7,3,6,0,0.95,0.62,5
udp,4607,2574,ftp_data,S0,2,3,5,2,0.36,0.08,3
udp,7,2078,smtp,SF,9,2,5,8,0.72,0.58,0
icmp,1150,4202,domain_u,S0,10,4,8,9,0.06,0.36,10
icmp,77,4050,domain_u,REJ,9,0,0,0,0.08,0.85,5
icmp,1772,2916,ftp_data,REJ,7,8,2,7,0.42,0.79,3
udp,1849,4610,smtp,REJ,4,6,7,1,0.69,0.89,2
icmp,2076,1733,smtp,S0,0,5,8,1,0.04,0.25,4
icmp,4943,3743,domain_u,SF,8,10,7,3,0.69,0.49,0
icmp,4175,3757,http,SF,4,9,0,6,0.11,0.75,0
tcp,2812,658,smtp,SF,7,7,3,2,0.83,0.73,6
udp,796,2969,ftp_data,S0,0,1,0,7,0.82,0.79,1
icmp,854,2317,domain_u,SF,8,1,5,2,0.64,0.49,2
udp,1200,3562,http,SF,7,4,4,1,0.14,0.83,0
icmp,1900,609,smtp,SF,3,6,7,2,0.94,0.72,2
udp,2001,3616,http,S0,4,10,3,7,0.32,0.25,10
tcp,549,3201,http,REJ,0,2,0,1,0.41,0.68,10
icmp,1742,822,domain_u,S0,7,3,2,2,0.83,0.44,5
icmp,4537,2390,domain_u,REJ,8,8,1,5,0.42,0.25,0
tcp,3339,3256,ftp_data,REJ,3,1,10,10,0.69,0.13,7
tcp,1698,1477,ftp_data,SF,4,1,10,0,0.45,0.83,5
icmp,288,3486,domain_u,REJ,6,3,10,8,0.33,0.75,10
icmp,3875,489,private,SF,2,7,1,3,0.51,0.04,8
udp,871,1689,private,S0,3,5,0,3,0.32,0.32,7
udp,70,1695,ftp_data,S0,4,7,5,9,0.27,0.42,1
udp,1159,2176,domain_u,S0,10,0,10,6,0.08,0.29,0
udp,495,3145,domain_u,S0,2,3,10,6,0.72,0.76,6
icmp,1961,1684,private,S0,10,4,5,0,0.6,0.15,6
tcp,580,828,http,S0,4,10,5,1,0.19,0.1,4
icmp,2575,639,smtp,S0,9,0,10,4,0.38,0.01,3
icmp,3277,2500,http,S0,8,9,0,2,0.8,0.68,7
tcp,4780,4965,http,S0,10,8,0,6,0.18,0.84,1
icmp,4982,4536,smtp,SF,5,3,0,4,0.86,0.64,10
tcp,792,2397,smtp,SF,1,9,1,10,0.93,0.01,10
tcp,3425,3181,ftp_data,S0,7,7,4,10,0.15,0.59,4
udp,2217,1212,smtp,S0,6,2,9,4,0.22,0.38,6
icmp,4737,1678,ftp_data,SF,3,5,3,1,0.75,0.78,1
tcp,1723,1598,smtp,SF,7,9,5,8,0.11,0.1,5
icmp,3862,4583,smtp,S0,5,6,10,5,0.66,0.75,8
tcp,4353,3258,ftp_data,S0,2,0,2,0,0.13,0.64,4
tcp,301,3414,http,SF,8,4,1,0,0.84,0.03,3
tcp,3918,3560,http,REJ,2,3,2,1,0.19,0.4,0
icmp,213,1732,smtp,S0,10,10,5,2,0.86,0.24,8
tcp,2111,165,domain_u,REJ,6,6,1,6,0.91,0.43,8
tcp,1490,1978,smtp,S0,6,4,1,9,0.95,0.05,0
icmp,149,4083,smtp,SF,3,10,10,2,0.87,0.62,9
udp,2032,1010,domain_u,SF,7,2,8,0,0.5,0.92,1
icmp,3290,1657,smtp,SF,1,5,0,2,0.21,0.42,5
